"Y","TreA","TreF","TP","TPP","TreC","TreP1","TreP2","TreB_b","TreB_c","TreB_a","TreB_d","Pgm","TreR1","TreR3"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","0","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","0","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","0","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","0","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","1","0","1","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","1","0","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","1","0","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","1","1","0","0","0","0","0","0","0","1","0","0"
"0","0","0","1","1","0","0","0","0","0","0","0","1","0","0"
"0","0","0","1","1","0","0","0","0","0","0","0","1","0","0"
"0","0","0","1","1","1","0","0","0","0","0","0","1","0","0"
"0","0","0","1","1","0","0","0","0","0","0","0","1","0","0"
"0","0","0","1","1","0","0","0","0","0","0","0","1","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"0","0","0","1","1","0","0","0","0","0","0","0","1","0","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"0","0","0","1","0","1","0","0","0","0","0","0","1","0","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","1","1","0","0","1","1","1","0","1","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"0","0","0","1","0","1","0","0","0","0","0","0","1","0","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"0","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"1","0","0","1","0","0","0","0","1","1","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","0","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"0","0","0","1","0","1","0","0","0","0","0","0","1","0","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"1","0","0","1","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","1","1","1","0","0","0","0","0","0","1","0","0"
"1","0","0","1","1","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","1","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","1","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","1","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","1","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","1","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","1","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"1","0","0","1","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","1","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","1","1","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","1","0","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","0","0","0","1","1","0","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","1","1","0"
"1","0","0","1","1","0","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","0","0","0","1","1","1","0","1","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","1","0","0","0","1","1","0","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","1","0","0","0","1","1","1","0","1","1","0"
"1","0","0","1","1","0","0","0","1","1","1","0","1","1","0"
"1","0","0","1","1","0","0","0","1","1","1","0","1","1","0"
"1","0","0","0","1","0","0","0","1","1","1","0","1","1","0"
"1","0","0","0","1","0","0","0","1","1","1","0","1","1","0"
"1","0","0","1","1","0","0","0","1","1","0","0","1","1","0"
"1","0","0","1","0","0","0","0","1","1","0","0","1","1","0"
"1","0","0","0","1","0","0","0","1","1","0","0","1","1","0"
"1","0","0","1","1","0","0","0","1","1","1","0","1","1","0"
"1","0","0","1","0","1","0","0","1","1","0","0","1","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","1","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","1","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","1","1","1","0"
"1","0","0","0","0","1","0","0","1","1","1","1","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
"1","0","0","0","0","1","0","0","1","1","1","0","0","1","0"
